,class,<var>,(,),{,},=,;,<int>,VAR,",",CONST,+,-,*,/,“==,>=,<=,!=,>,<,!,if,while,for,endif,then,else,do,endwhile,input,print
0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,10,,,,3,,,,8,,,,,,,,,,,,,,14,14,,3,,3,,3,4,19
4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,6,,,,3,,,,,17,17,17,17,,,,,,,,,,,,,,,,,
7,,,,6,,,,3,,,,,17,17,17,17,,,,,,,,,,,,,,,,,
8,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,17,3,,,8,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,12,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,3,,,,,11,11,11,11,,,,,,,,,,,,,,,,,
13,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,15,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,14,14,14,14,14,14,,,,,,3,,3,,,
16,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,18,17,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,18,,,,3,,,,,17,17,17,17,,,,,,,,,,,,,,,,,
19,,20,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
