33
,class,(,),{,},=,;,VAR,",",CONST,+,-,*,/,�==,>=,<=,!=,>,<,!,if,while,for,a,?,endif,then,else,do,endwhile,input,print
class,,,,>,,,,,,,,,,,,,,,,,,,,,=,,,,,,,,
(,,<,=,=,,,,,,,<,<,<,<,<,<,<,<,<,<,<,,,,=,,,,,,,,
),,,,=,,,>,,,,>,>,>,>,>,>,>,>,>,>,>,,,,,,,,,,,,
{,,,,,=,<,<,<,<,<,,,,,,,,,,,,<,<,,<,,<,,,,,<,<
},,,,,>,,>,>,,>,,,,,,,,,,,,,,,,>,,,,,,,
=,,<,,,,,>,,>,,<,<,<,<,,,,,,,,,,,=,,,,,,,,
;,,,,,>,>,,>,,>,>,>,>,>,,,,,,,,>,>,>,>,,>,,>,,>,>,>
VAR,,,,,,=,>,>,>,>,,,,,,,,,,,,,,,=,,,,,,,,
,,,,,,>,,,,,,,,,,,,,,,,,,,>,,,,,,,,
CONST,,,,,,=,,,,,,,,,,,,,,,,,,,=,,,,,,,,
+,,<,>,,,,>,,,,>,>,<,<,>,>,>,>,>,>,>,,,,=,,,>,,>,,,
-,,<,>,,,,>,,,,>,>,<,<,>,>,>,>,>,>,>,,,,=,,,>,,>,,,
*,,<,>,,,,>,,,,>,>,>,>,>,>,>,>,>,>,>,,,,=,,,>,,>,,,
/,,<,>,,,,>,,,,>,>,>,>,>,>,>,>,>,>,>,,,,=,,,>,,>,,,
'==,,,>,,,,,,,,<,<,<,<,,,,,,,,,,,=,,,>,,>,,,
>=,,,>,,,,,,,,<,<,<,<,,,,,,,,,,,=,,,>,,>,,,
<=,,,>,,,,,,,,<,<,<,<,,,,,,,,,,,=,,,>,,>,,,
!=,,,>,,,,,,,,<,<,<,<,,,,,,,,,,,=,,,>,,>,,,
>,,,>,,,,,,,,<,<,<,<,,,,,,,,,,,=,,,>,,>,,,
<,,,>,,,,,,,,<,<,<,<,,,,,,,,,,,=,,,>,,>,,,
!,,,>,,,,,,,,,,,,,,,,,,,,,,,,,>,,>,,,
if,,,,,,,,,,,<,<,<,<,<,<,<,<,<,<,<,,,,=,,,=,,,,,
while,,,,,,,,,,,<,<,<,<,<,<,<,<,<,<,<,,,,=,,,,,=,,,
for,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,>,,,,,,,,,,,,,,,,,,,,,,,,,,
?,<,,,<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
endif,,,,,>,,>,>,,>,,,,,,,,,,,,,,,,>,>,,>,,,>,>
then,,,,,,<,<,<,,<,,,,,,,,,,,,<,,,<,,=,,=,,,,
else,,,,,,<,<,<,,<,,,,,,,,,,,,<,,,<,,=,,,,,,
do,,,,,,<,<,<,,<,,,,,,,,,,,,<,,,<,,,,,,=,<,<
endwhile,,,,,>,,>,>,,>,,,,,,,,,,,,,,,,,,,,,,,
input,,,,,,,>,,,,,,,,,,,,,,,,,,=,,,,,,,,
print,,,,,,,>,,,,,,,,,,,,,,,,,,=,,,,,,,,
